"IndividualID";"Species";"Island";"CulmenLength_mm";"CulmenDepth_mm";"FlipperLength_mm";"BodyMass_g";"Gender"
"N5A1";"Adelie";"Torgersen";34,1;18,1;193;3475;""
"N5A2";"Adelie";"Torgersen";42;20,2;190;4250;""
"N6A1";"Adelie";"Torgersen";37,8;17,1;186;3300;""
"N6A2";"Adelie";"Torgersen";37,8;17,3;180;3700;""
"N29A2";"Adelie";"Dream";37,5;18,9;179;2975;""
"N46A1";"Gentoo";"Biscoe";44,5;14,3;216;4100;""
"N51A1";"Gentoo";"Biscoe";46,2;14,4;214;4650;""
"N24A1";"Gentoo";"Biscoe";47,3;13,8;216;4725;""
"N36A1";"Gentoo";"Biscoe";44,5;15,7;217;4875;""
